barcode,nama_item,merek,satuan
11747236751,MR FOOD 100G TEPUNG DAWET VANILA,,PCS
11747237604,MR FOOD 137G PD ALMOND,,PCS
11747237611,MR FOOD 137G PD CAPUCINO,,PCS
11747237628,MR FOOD 137G PD CHOCOLATE,,PCS
11747237635,MR FOOD 137G PD MANGGA,,PCS
11747237659,MR FOOD 137G PD STRAWBERRY,,PCS
11747616058,TING TING JAHE 8`S,,PCS
11747619011,DOUBLE RABBIT KACANG KULIT 250G,,PCS
11747619028,DOUBLE RABBIT KACANG KULIT 100G,,PCS
1180272778888,MERICA KAPAL BINTAN 250G,,PCS
1180272779889,MERICA KAPAL BINTAN 50G,,PCS
1180272779988,MERICA KAPAL BINTAN 100G,,PCS
1180273779999,MERICA KAPAL BINTAN 150G,,PCS
120080074958,BUKU KAS GALAKSI 17423,,PCS
1201720010471,PULPEN ACTION STANDARD,,PCS
122102,SNOWMAN AE7 BIRU,,PCS
1221868647018,BINDER,,PCS
12300280,ROL RAMBUT AKIO KECIL,,PCS
12300297,ROLL RAMBUT AKIO SEDANG,,PCS
123456789888,P/CASE MAGNET 1872,,PCS
1254644417833,KWITANSI NCR R2 BAMBU,,PCS
1254644417857,BUKU BUKTI KAS BAMBU,,PCS
1254644513795,SURAT JALAN NCR BR3 BAMBU,,PCS
126514093003,BODIES CK SILVER MINI,,PCS
126514093007,BODIES RALPH BLUE MINI,,PCS
126514093008,BODIES INTUITION KUNING MINI,,PCS
126514093014,BODIES TOMMYJADORE PUTIH MINI,,PCS
126514093021,BODIES POLO BLUE MINI,,PCS
126514093045,BODIES PLEASURE ORANGE MINI,,PCS
1272412000513,DUPA LOTUS,,PCS
13000008143,HEINZ VINEGAR APPLE CIDER 946ML,,PCS
1314168188982,BLUE ORBS FLASH D 2GB,,PCS
13256001059,STM LONGAN 565gr,,PCS
13256010402,TONG GARDEN PISTACHIOS 40G,,PCS
13256110515,TONG GARDEN PEANUT SALTED 40G,,PCS
13256111802,TONG GARDEN KC SHANDONG 180G,,PCS
13256112007,TONG GARDEN PEANUT SALTED 200G,,PCS
13256211878,NO.1 SALTED CASHEWNUTS 180G,,PCS
13256220412,TONG GARDEN CSNUT HONEY 40G,,PCS
13256281017,TONG GARDEN PISTACHIOS 90G,,PCS
13256281871,NO.1 SALTED PISTACHIOS 180G,,PCS
13256282007,TONG GARDEN PISTACHIOS 180G,,PCS
13256284001,TONG GARDEN PISTACHIOS 400G,,PCS
13256510414,TONG GARDEN PARTY SNACK 40G,,PCS
13256511008,TONG GARDEN PARTY SNACK 80G,,PCS
13256514092,TONG GARDEN MIXED NUTS 400G,,PCS
13256515006,TONG GARDEN MIXED NUTS 500G,,PCS
13256621202,TONG GARDEN BROAD BEANS CHILI 120G,,PCS
13256621219,TONG GARDEN BROAD BEANS ONION120G,,PCS
138802027177,LEM HIGH POWER 210,,PCS
1410901020226,R RM SENTER TOYOSAKI TL1500,,PCS
1411602060016,LAMPU TOYOSAKY LED 3W,,PCS
1411602060023,LAMPU TOYOSAKY LED 5W,,PCS
1411602060030,LAMPU TOYOSAKY LED 8W,,PCS
1411602060054,LAMPU TOYOSAKY LED 10W,,PCS
14163123414,SNOWTIME ICE POPS 900ML,,PCS
14285000013,UFC HOT SAUCE 90G,,PCS
14285000068,UFC BANANA CATSUP 320G,,PCS
14285000075,UFC BANANA CATSUP 550G,,PCS
14285000891,UFC SWEET CHILI SAUCE 340G,,PCS
14285000914,UFC GOLDEN FIESTA COOKING OIL 485ML,,PCS
14285000921,UFC GOLDEN FIESTA 950ML,,PCS
14285000945,UFC GOLDEN FIESTA COOK OIL POUCH 250ML,,PCS
14285001102,UFC BANANA CATSUP 4KG,,PCS
14285001119,UFC BANANA CATSUP 2KG,,PCS
14285001935,UFC SPAG SAUCE 1KG,,PCS
14285001980,HEINZ TOMATO SAUCE POUCH 1KG,,PCS
14285001997,HEINZ SPAG SAUCE POUCH 750G,,PCS
14285002376,UFC TOMATO SAUCE SFB 200G,,PCS
14285002789,UFC BANANA CATSUP 100G,,PCS
14285003038,PAPA PLUS BANANA CATSUP 1KG,,PCS
14285003045,UFC BANANA CATSUP 1KG,,PCS
14285003076,UFC TOMATO SAUCE SFB 115G,,PCS
14657511024,BINACA PEPPERMINT BREATH SPRAY 5.67G,,PCS
14657812015,BINACA PEPPERMINT BREATH SPRAY 15ML,,PCS
1471003445645,LOOS LEAF B5 100 MIDORI,,PCS
14779000888,PENJEPIT BULI MATA BESI GLENCO,,PCS
14800017880304,FOOD WRAP CLING 30M,,PCS
14800602073593,NESTEA BLAST ORANGE 200ML,,PCS
15000024444,GERBER TROPICAL PAPAYA 113G,,PCS
15000024475,GERBER TROPICAL MANGO 113G,,PCS
15000026219,GERBER BROCCOLI&CAROT 170G,,PCS
15000026370,GERBER APPLE BANANA 170G,,PCS
15000026431,GERBER PEACH COBBLER 170G,,PCS
15000026448,GERBER FRUIT SALAD 170G,,PCS
15000049126,GERBER GREEN BEANS 71G,,PCS
15000049188,GERBER SWEET POTATO 71G,,PCS
15000049300,GERBER PEACHES 71G,,PCS
15000049348,GERBER PERAS 71G,,PCS
15000049355,GERBER BANANAS 71G,,PCS
1522633301501,BUKU MEWARNAI K BAMBU,,PCS
1587692455664,RIVANOL ATI LTS OBT KOM 300 ML,,PCS
1587698951245,RIVANOL ATI LTS OBT KOM 100 ML,,PCS
16000135307,BETTY CROCKER COMPLETE CINNAMON SWIRL 219G,,PCS
16000135406,BETTY CROCKER BUTTERMILK 212G,,PCS
16000306509,CHOCOLATE CHIP 496G,,PCS
16000307902,BETTY CROCKER OATMEAL CHOC CHIP 496G,,PCS
16000319103,BETTY CROCKER BAC-OS BITS 125G,,PCS
16000355101,FRUIT ROLL-UPS BLASTIN BERRY 141G,,PCS
16000355408,FRUIT ROLL-UPS STRAWBERRY 141G,,PCS
16000362703,POP-SECRET JUMBO POP 298G,,PCS
16000397002,FRUIT ROLL-UPS TROPICAL TIE-DYE 141G,,PCS
16000400603,BETTY CROCKER BAC-OS CHIPS 116G,,PCS
16000428706,BETTY CROCKER WILD BLUEBERRY 517G,,PCS
16000432307,BETTY CROCKER SUPERMOIST DEVILS FOOD 517G,,PCS
16000436008,BETTY CROCKER SUPERMOIST CHOCO FUDGE 517G,,PCS
16000439504,BETTY CROCKER SUPERMOIST BUTTER YELLOW 517G,,PCS
1600045170,POP SECRET BUTTER 94% FAT FREE,,PCS
16000451704,POP-SECRET BUTTER 255G,,PCS
16000576902,POP SECRET MOVIE THEATRE BUTTER 3.5OZ,,PCS
1601200311003,SOFLYNA KRIPIK KAKI AYAM 35 GR,,PCS
1601200311287,SOFLYNA USUS TEPUNG 100 GR,,PCS
1601200311706,SOFLYNA KRP KENTANG UDANG,,PCS
1601200312000,SOFLYNA KRIPIK KAKI AYAM 70 GR,,PCS
1601200313007,SOFLYNA USUS TANPA TEPUNG 35 G,,PCS
1601200315001,SOFLYNA  USUS TEPUNG 50 GR,,PCS
1601200318002,SOFLYNA  K.USUS TANPA TEPUNG 70G,,PCS
161116324227,SENTRALE KABEL BOX 6 MTR,,PCS
1626798410,MATERAI,,PCS
1628112990607,LUGGA,,PCS
16700485177,POPEYE S-STRING POTATOES 46G,,PCS
1689999707961,CAMEO LIPSTIK,,PCS
16915201,PETIS BUMBU CAP DUA KUALI 250G,,PCS
172538908360,DIARY SWEET LOVE (TG) KOTAK,,PCS
1733268803043,VINISI SUP JAGUNG RAJUNGAN 300G,,PCS
1733288080134,VINISI FRUIT COKTAIL 430G,,PCS
1733288080240,VINISI FRUIT COCKTAIL 840G,,PCS
18182116673162,GUNDAR SPTBS,,PCS
1826923120002,LEM BESI MERIKAN,,PCS
18851123212038,M 150/10PCS,,PCS
188629318911,ABD GELAS SET ELEGENT H11 KIG,,PCS
18886012895283,SEAGULL/PHARUM,,PCS
18886020033431,KAPUR AJAIB,,PCS
18888140030093,MILI BSR/1,,PCS
18888826016557,ORAL B CLASIC,,PCS
1890055667896,BESCO MAP PLST BC 101,,PCS
18934868015024,REXONA DEO,,PCS
18970163288886,FRENZ MILD,,PCS
18992702000015,Indomilk Kaleng Putih 375g,,PCS
18992702000022,Susu Enak Kaleng  putih 375g,,PCS
18992702006000,Susu Indomilk Melon 190ml,,PCS
18992752981071,VIT GELAS 240 ML,,PCS
18992753016591,Susu Frisian Flag 115ml,,PCS
18992779267703,KIT W&GLOW/SHCET,,PCS
18992779269209,Kit Motor Multiguna,,PCS
18992843992012,BETADINE/1S,,PCS
18992855888181,SWALLOW POWDER,,PCS
18993007000236,Susu Indomilk Cokelat 190 ml,,PCS
18993007000250,Susu Indomilk Stroberi 190 ml,,PCS
18993007001257,Susu Kremer 375g,,PCS
18993007002933,Susu Kremet Kaleng 500g,,PCS
18993055000502,TEH BENDERA,,PCS
18993189270680,CHARM NIGHT 1PS,,PCS
18993189270796,POKO 1PS,,PCS
18993189270833,POKO XL 1,,PCS
18993379260078,lilin Batang Popular,,PCS
18996001600181,KOPI CUP CAPPUCINO,,PCS
1899619600080,PIATTOS RASA AYAM 12GR,,PCS
18996196003200,Piatos Rasa Ayam teriyaki,,PCS
18997004700151,ALOE VERA 350ML JERUK,,PCS
18997004700175,ALOE VERA 350ML BLACKCURRANT,,PCS
1899700730001,TORPEDO CUP,,PCS
1899701006010,MILKUAT BTL ORANGE 70 ML,,PCS
1899701106000,MILKUAT FRUITEA BTL 70ML,,PCS
1899701106020,MILKUAT BTL STWBERY 70 ML,,PCS
18997018960056,BERLIAN 500G,,PCS
18997050801505,Salicyl Ika Talk 80gr Menthol,,PCS
18998009010238,Susu Ultramilk Cokelat 250ml,,PCS
18998009010245,Susu Ultramilk Stroberi 250ml,,PCS
18998009010559,Susu Ultramilk Full Cream 200ml,,PCS
18998009010566,Susu Ultra Milk Cokelat 200ml,,PCS
18998009010573,Susu Ultramilk Stroberi 200ml,,PCS
18998009010610,Susu Ultramilk Full Cream,,PCS
18998103000609,Bedak Cussons Baby 350g,,PCS
18998866103968,Sikat Gigi Ciptadent Medium,,PCS
18998866104798,Hand Body Emeron 200ml Pink,,PCS
18998866601143,Wing Dangdut Jeruk,,PCS
18998866602379,Wing Dangdut DDJ400B,,PCS
18998866604212,Wing Dangdut DDM400,,PCS
18998866608398,SOFTENER 1XBLS SCH,,PCS
18998866608845,Wing Dangdut DDP 400,,PCS
18999777026370,HANSAPLAST,,PCS
19100002074,JERGENS SKIN FIRMING MOIST 310ML,,PCS
19100002173,JERGENS UH HEALS&SOFTENS MOIST 709ML,,PCS
19100005204,JERGENS SKIN FIRMING MOISTURIZER 458ML,,PCS
19100007246,JERGENS SS GENTLY EXFOLIATES DRY 709ML,,PCS
19100007611,JERGENS OS HEALS&SOFTENS MOIST 709ML,,PCS
19100007642,JERGENS SAR SOOT RELIEF W/ALOE 709ML,,PCS
19100007659,JERGENS ADM-V DIMINISHES SIGNS 709ML,,PCS
19100008793,JERGENS BATH SOAP 127G,,PCS
19100008984,JERGENS SKIN FIRMING BW 295ML,,PCS
1910202060056,LAMPU KRIPTON LED 3W,,PCS
1910202060063,LAMPU KRIPTON LED 5W,,PCS
1910202060070,LAMPU KRIPTON LED 7W,,PCS
1910202060087,LAMPU KRIPTON LED 9W,,PCS
1916848847,MINYAK TAWON DD,,PCS
19555143600118,CRICKET/50S,,PCS
1981572251405,CLEAR PUMP 500 ML BLUE,,PCS
1999110511768,KERUPUK PELANGI METRO 200G,,PCS
1999110511775,KERUPUK UDANG MINI 888 200G,,PCS
1999110511850,KERUPUK CERIMPING PEDAS 88,,PCS
1999110512789,KERUPUK BAWANG BJ,,PCS
20000653,ERDBEER KONFITURE (STRAWBERRY JAM),,PCS
20001049,SOMMERBLUTEN HONIG GOLDKLAR 500G (HONEY),,PCS
20003548,CHOCO NUSSA 400G,,PCS
20003753,BRATHERINGE HERRING 300G,,PCS
20003876,FISHERSTOLZ HERRINGS IN TOMATO SAUCE 120G,,PCS
20004026,PREISELBEEREN (CRANBERRY),,PCS
20004033,STOLLENWERK HEIDELBEEREN (BLUEBERRY),,PCS
20005009,FG.SOSIS BAK (KUANG CIANG) 12'S,,PCS
20006044,MAC JOER S DROPS,,PCS
20013837,LINSEN EINTOPF MIT WURSTCHEN,,PCS
20022903,BISKUAT PACK,,PCS
2006121690920,Korek Gas Fox,,PCS
20101831,FISCHERSTOLZ HERRING FILLETS IN TOMATEN SAUCE 200G,,PCS
20101848,FISHERSTOLZ HERRING FILLET (PAPRIKA SAUCE),,PCS
20101855,FISHERHOLZ HERRING FILLETS (SENF SAUCE),,PCS
201036369999,NOTA KONTAN NCR 2 PLY,,PCS
201060601491,Handbody Kriss Ungu 100 ml,,PCS
201060601507,Handbody Kriss Hijau 100 ml,,PCS
201060601514,Handbody Kriss Kuning 100 ml,,PCS
2013061012019,CLIP BOARD CHOYA,,PCS
2013100229101,BUKU JUZ 'AMMA B PR,,PCS
2014001100006,CARDIFF BENGKOANG 600 ML,,PCS
20140203222529034997,GULA ARAFAH 1KG,,PCS
2015001100006,CARDIFF GOAT 600 ML,,PCS
2015001100007,CARDIFF,,PCS
2015758000002,KAOS KAKI MENDY,,PCS
201632504,SPIDOL CADWELL 12W,,PCS
201632536,INTER X ZIPPER BAG,,PCS
201632547,TEKA ODNER 601,,PCS
201634438,DAIYU ODNER 403 F BSR,,PCS
201634495,LOOSE LEAF GRS KCL-25S,,PCS
201635174,LABEL CD-R ECER-2S-POLOS,,PCS
201637297,ODNER NAFA 1111 KWIT-TPS,,PCS
201637750,ZIPPER DOC.BAG PIVOT A4 DF56-18,,PCS
201637751,KIKY INDEX TELEPHONE,,PCS
201637752,KIKY ODNER 403F GLOSS,,PCS
201637778,INTER X CARRY CASE,,PCS
201637789,EAGLE MAP F KCG TOMEX TX-309,,PCS
201637804,BLOK NOTE OFFICIA/SRITI GRS,,PCS
201637813,BAMBI ORGANIZER 7716,,PCS
201637814,BAMBI ORGANIZER 8816,,PCS
201637821,MAP F POLOS F4 KCG 1,,PCS
201637853,KIM MAP F SNELH,,PCS
201637868,KENKO RAUTAN SP-362,,PCS
201637870,INTER X MAP F CLEAR SLVS L A4-CMPR,,PCS
201637897,DATA X CLEAR HOLDER V.10 A4/SOLID,,PCS
201637912,LABEL KACA MEDIUM CMPR,,PCS
201637913,LABEL KACA LARGE CMPR,,PCS
201738091,BAG FILE CARRY FC 2 CM,,PCS
201738092,BAG FILE CARRY FC 3 CM,,PCS
20185121,KNORR BROTH CHICK 1KG,,PCS
202662006,MAP BIND CAMPUS UGM A5/MAS,,PCS
202752067,PAKET UJIAN STABILO C-ngrh,,PCS
203011537,BAYGON JUMBO DB,,PCS
203101043,MIE S MIE,,PCS
203260652,ZWITSAL NAT MILK HONEY PACK,,PCS
203260670,Z WITSAL,,PCS
203270196,AY 18,,PCS
203280254,PI IGEON CP,,PCS
203291167,OO L,,PCS
203300472,VIVA FACE PWD KNG PENGTN 14gr,,PCS
203300474,VIVA COMPACT POWDR KNG LNGSAT 19gr,,PCS
203300743,RE EXONA M,,PCS
203312016,RIVANOL MOLEX 100ml,,PCS
203312121,CB MODERN TABUNG,,PCS
203410108,P IGE,,PCS
204000041,MUTIA VCO 150ml,,PCS
204000042,MUTIA VCO 300ml,,PCS
204011396,ZAITUN MASSAGE CREAM,,PCS
204405482,VIRJINT COCONUT OIL 100ml,,PCS
204409992,RENGGINAN KECIL,,PCS
2045171022671,KRIPIK BAYAM 75GR,,PCS
205600078,TP UGM GUNUNGAN FIBER-1 PEN KECIL,,PCS
205605885,JH RC PRIA MODEL JAS,,PCS
205646081,PLAKAT UGM MODEL HP PRINT T.JAM,,PCS
205648074,BP UGM BOSS TALI-pb,,PCS
206036267,CLIP BOARD ENTER BNG,,PCS
20660543,KAYAFIT KERIPIK NANGKA 50G,,PCS
20660642,KAYAFIT KERIPIK MANGGA 50G,,PCS
206609466,PIN UGM CAMPUR BSR-pudji,,PCS
206610088,TAS UGM MIKRO SEDANG,,PCS
206675073,TAS PUNGGUNG UGM SEMETRIS,,PCS
206675078,JH UGM-semetris,,PCS
206678057,ST FAKULTAS-kadece,,PCS
206688004,PAYUNG UGM LPT 3-mahir,,PCS
206688005,PAYUNG UGM LPT2-mahir,,PCS
206712012,KALUNG ARAB-kalinyamat,,PCS
206731216,BEAUTIFULL ACCESORIES,,PCS
20673729,ST DESTRO GELEM RA GELEM UGM-KCL2,,PCS
206776031,PAYUNG UGM LPT3,,PCS
206794017,GK UGM/FAK NEW-pratiknyo,,PCS
206803017,INDRI ACCESORIES,,PCS
20714080310,CLINIQUE HAPPY FOR MAN,,PCS
207141633337,CLINIQUE EYE SHADOW 213,,PCS
20714170486,PARFUM CLINIQUE HAPPY HEART,,PCS
20800306348,HIGH ENDURANCE DRY CREAM FRESH 14G,,PCS
20800306379,SAFEGUARD ADVANTAGE CREAM STICK 14G,,PCS
20800309332,SECRET FLORAL BOUQUET 14G,,PCS
20800309363,SAFEGUARD ADVANTAGE SPORT 14G,,PCS
20800712705,SECRET PLATINUM PROTECTION 14G.,,PCS
20800715805,SAFEGUARD STICK ACTIVE FRESH 45G,,PCS
20800718349,HIGH ENDURANCE 14G,,PCS
20800721356,SAFEGUARD ADVANTAGE FOREST FRESH 14G,,PCS
20800721370,SAFEGAUARD FLORAL BLOOM 14G.,,PCS
21000002825,KRAFT BALSAMIC VINAIGRETTE 473ML,,PCS
21000002832,KRAFT ITALIAN PESTO 473ML,,PCS
21000002849,KRAFT SUNDRIED TOAMATO 473ML,,PCS
21000323081,KRAFT CEASAR CLASSIC 473ML,,PCS
21000604593,KRAFT SINGLES (8) 170G,,PCS
21000604647,KRAFT SINGLES AMERICAN CHEESE 340G,,PCS
21000604739,KRAFT SINGLE 12S,,PCS
21000604913,KRAFT SINGLES 72S,,PCS
21000612239,KRAFT PHELADELPHIA 226G,,PCS
21000615001,KRAFT SINGLES SWISS CHEESE 170G,,PCS
21000641048,KRAFT ZESTY ITALIAN 473ML,,PCS
21000644544,KRAFT COLESLAW 237ML,,PCS
21000644551,KRAFT THOUSAND ISLE 237ML,,PCS
21000644612,KRAFT BLUE CHEESE 237ML,,PCS
21000644735,KRAFT THOUSAND ISLAND 473ML,,PCS
21000646784,KRAFT RANCH 237ML,,PCS
21000678402,KRAFT BBQ HONEY 510G,,PCS
21000678440,KRAFT HICKORY SMOKE 510G,,PCS
21000679225,KRAFT THICK N SPICY HONEY 510G,,PCS
21000682737,KRAFT ITAL VINGRT 473ML,,PCS
21000686070,KRAFT CEASAR W/BACON 473ML,,PCS
210110050,JURNAL GIZI KLINIK IND. VOL.4/3/08,,PCS
21060500,MJL ELFATA N0 11 DES 2008,,PCS
21060605,MJL HALAQAH NO1 AGT 2004,,PCS
21060615,MJL UMMI 9,,PCS
21060628,MJL SAKSI NO 10 2005,,PCS
210606953,MJL FARSIGAMA,,PCS
210608998,PETA LIPAT,,PCS
21110156128,MARSH CRANBERRY SAUCE 454G,,PCS
21200510083,SCOTCH-BRITE HOUSEHOLD GLOVES M8-8 1/2,,PCS
21200510090,SCOTCH-BRITE HOUSEHOLD GLOVES L9,,PCS
212207102412,BAWANG REAL FRIED ONIONS 100G,,PCS
21223822,FORMOSA CLING WRAP,,PCS
21261302,IKAT PINGGANG COWOK-TA,,PCS
21274023,TOPI PET JARING,,PCS
212749056,CELANA JEANS ARISTER,,PCS
212788082,KK STARWAY AP6-F6,,PCS
212832002,AURA FASHION-ERFO,,PCS
212832005,AURA FASHION-KMJ PDK,,PCS
212832006,AURA FASHION-KMJ PJG,,PCS
212832007,AURA FASHION-CLN/JEAN3/4,,PCS
21296604062,PAUL MASSON BURGANDY 1LT,,PCS
21296604130,PAUL MASSON CHABLIS 1LT,,PCS
21300040,PELUBANG V.TEC NO.40,,PCS
215074443,LAMPU KRYPTOM 3U PLC 35W,,PCS
215074451,S/K ARDE T 3lb+SK YOSHIDA 633,,PCS
215074452,SMART KABEL ROLL FULL 15m+SK,,PCS
21723339994,FISH SAUCE 300ML,,PCS
2196170017981,LAK CIANG 8'S,,PCS
22000001955,WRIGLEYS ORBIT PEPPERMINT GUM 14G,,PCS
22000002594,WRIGLEYS COOL AIR HONEY&LEMON 42.5G,,PCS
22000004093,WRIGLEYS DOUBLEMENT GUM 42G,,PCS
22000008510,WRIGLEY'S COOL AIR 10'S MENTHOL,,PCS
22000062024,WRIGLEYS JUICY FRUIT STRAPPLEBERRY 17G,,PCS
22000101754,WRIGLEYS DOUBLEMINT GUM 102G,,PCS
22000111364,DOUBLEMINT CHEW GUM JUMBO 160G,,PCS
22000111371,JUICY FRUIT CHEW GUM JUMBO 160G,,PCS
22000111425,COOL AIR CHEW GUM MENTHOL&EUCA 85G,,PCS
22000111432,COOL AIR CHEW GUM HONEY-LEMON 85G,,PCS
22000114723,DOUBLEMINT PERMRN STIK 20S,,PCS
22000114730,WRIGLEY JUICY FRUIT STICK,,PCS
221100236,EAR PHONE AX,,PCS
22110025,SONY EARPHONE 727,,PCS
222010137,SAPU KIPAS DUK-ANTOK DUK TYA,,PCS
222010139,SAPU ANTOK RAYUNG TYA,,PCS
222010145,hanger jilbab-tya,,PCS
222010227,SULAK RAFIA KCL-lgg,,PCS
222010283,PANGGANG SATE KECIL TYA,,PCS
2222121001355,CB.CLANDY 50 DEWASA,,PCS
2222121001362,COTTON BUD CLANDY 80 PCS,,PCS
2222121001393,CB. CLANDY 50 BAYI,,PCS
2222121001409,COTTON BUD CLANDY 100 PCS,,PCS
